day,old_guid,new_guid,old_title,new_title
1,4a151e6b-7911-41b9-b1ef-c6fa00bafaa5,9ae33582-29f9-4afc-9786-64c969eaa112,Day 1 Welcome and Baseline.mov,Welcome To Day One Understanding Your Baseline
2,daf70a49-4110-4f52-a2de-7f273a8475c1,2bf807d4-37a8-4365-a1cb-3dd47a0161d7,Day 2 Swiss Army Knife Stand Strong Be Strong.mp4,Day Two Stand Strong Be Strong.mp4
3,a2aea625-4738-46f2-b341-46ca7f7dc060,bb194ce7-00b2-45c1-a10f-969a630f8625,Day 3 Swiss Army Knife Breath.mov,Day 3: Breath Deep Second Blade
4,c5a735ac-9c1e-45d0-a19c-80028e59da35,3749d405-889e-4ddf-b993-025f8969ef7e,Day 4 Swiss Army Knife The Brain.mov,Day 4 The Third Blade The Brain
5,df89060d-213c-431e-8d77-90b0d756e275,bebdfdd3-8fb3-4ed4-b0bd-63dfd114ea18,Day 5 Pattern Interupts.mov,Day 5 Heart Coherence
6,83af77c8-a9dd-4519-8ef3-0ac4b5734e7b,7fbc888e-8fd6-4799-bbd9-2ff58b6ee806,Day 6 Grounding in The Present Moment.mov,Day 6 The ART Protocol
7,df982ffb-df9a-4755-9fe2-366594e0e2b8,347dcfae-0046-497f-9169-1e1b045b255d,Day 7 Congratulations.mov,Day 7 ART Squared
8,bb119231-068b-485a-9104-1a7603e4d8f5,ae487c5e-7c94-4602-a74a-447e3ecec3ea,Day 8 Introduction to The Boss.mov,Week 2 Stableize Day 8 Your Diamond Identity
9,0e8b5da3-4312-466e-b500-5fe34dab888f,2b258a9f-be8d-4be3-92b3-66af02d1bbec,Day 9 Identity Awareness .mov,Day 9 The Reflection
10,d33ba1bf-d0d3-4e02-bb51-a29d46bfc9f2,a4fc1ef2-9ad2-4597-bd9d-ab5afcb96374,Day 10 ART Acceopt Release Transform.mov,Day 10 The Boss
11,ed4d0b12-2a21-4d41-b102-6c3ac51ad19c,7d93e8c6-3772-4941-85d5-05190293340b,Day 11 Triggers Are Teachers.mov,Day 11 Eliminating Energy Drains
12,fe8c2939-7e6c-4863-8538-d98ec5d9fdc0,3ab2c7a1-0b46-41a8-91ad-d55ed93781a4,Day 12 Break The Default Loop.mov,Day 12 Conscious Choices
13,ecf0a25a-8df9-42e7-b62a-82118b555406,8424b6fd-6cee-40aa-a55f-4d3f60da75a9,Day 13 Run Your Breath Run Your Life.mov,Day 13 Presence As Communication
14,2fa0592e-cc84-489f-818a-1897ebcbb5aa,608d53e0-5075-434d-992f-3b635df915de,Day 14 Discipline Plus Cosistency.mov,Day 14 Micro Interactions Matter
15,ff25ddf2-0576-417d-a861-985f548fa788,a4ecb218-2775-4dd4-acfa-0e45caac62a7,Day 15 The Pressure Room.mov,Day 15 Alignment Under Pressure
16,78607971-138c-4f4e-85f9-072833822fe1,5e5ee607-4b01-47c0-a733-1d373dc2dbd9,Day 16 ART² The Power of Responsibility,Day 16 Reality Reflects
17,332ea0f7-36f8-4a54-b8fb-7286a9498019,c349a5d3-c4a5-4a29-bdcf-028a6cc23ba0,Day 17 Leading the Field.mov,Day 17 Broadcasting Begins
18,19706b3e-6a5f-44aa-b473-7fe7d18d7e79,cf757872-ccec-40cd-a4b3-12affecc2e84,Day 18 Calm is Currency,Day 18 Proximity Prime
19,f19e972a-04d6-46bd-9fa3-40a72e8938f6,34296b19-3ebc-4cf9-adba-73b85a9cfee8,Day 19 Rewire Through Presence.mov,Day 19 Elevate The Energy Of The Room
20,649a2a38-db81-4912-94da-c70c6bc1e709,bcbb1e60-e622-43c2-b20c-93f34a553a93,Day 20 Upgrade Your Capacity.mov,Day 20 Hold Your Frequency
21,411a4444-0be6-48c0-9f71-825858bf247d,a35dbcdc-268b-4e00-9abc-5f26216bdfe1,Day 21 Strengthen Recap,Day 21 Frequency as Currency
22,49903bed-23fd-4f88-89b2-ab258e98f77a,23028f9d-5d90-401c-ac4a-590f4e20c65a,Day 22 Proximity Prime,Day 22 ACE Life
23,e070abb1-5e20-48b9-919f-01c402f7335d,54f75f9f-f2f8-49e8-87ad-2fcca4e2b236,Day 23 The LIFE Code.mov,Day 23 The LIFE Code Love
24,6b2b88d3-56c7-4ebe-b418-5164a85e21aa,136b57be-2891-4f6c-93e3-c305060030b4,Day 24 Broadcasting VS Reacting.mov,Day 24 Integration Begins
25,3597a13f-324d-405c-871b-352593da8321,0e1399ef-f31c-481a-80fc-550a2db37e67,Day 25 Build the Diamond Field,Day 25 Flow
26,0222d9d9-6aea-4771-b12d-37b48d0faf23,f697f7a9-f88b-44d0-ac14-3edb364cb608,Day 26 The Diamond Identity Check-In.MOV,Day 26 Evolve
27,c7ef13db-f38a-4971-9b62-8d1be8e429f3,c71fd85c-86e8-4cd6-b0e5-4a9c3ed5fdc0,Day 27 Your Ripple Effect.MOV,Day 27 Automatic Deployment
28,0d15ba62-88fe-45ff-af61-d445053217c7,6d81ba5d-6766-45d2-99e5-1a6bd8ba0d2e,Day 28 Week 4 Congratulations.MOV,Day 28 Teach What You Know
29,4e12464e-fd2b-42ce-b9d0-d906f041ce84,af3aa97d-7841-458b-bb5b-d4aaf25c3cd8,Day 29 Your Diamond Manifesto.mov,Day 29 The Diamond Manifesto
30,ea885e01-c76f-4890-9ef0-c14fcf8ca83b,cbcb782f-0f85-40d5-8c64-f83c8c5b3cd3,Day 30 Define Your Legacy Signal,Day 30 Congratulations 30 Day Diamond Sprint
